trait_id,trait_name
PO:0006061,"stigma epidermis"
PO:0006062,"style epidermis"
PO:0006063,"plant ovary epidermis"
PO:0006065,"hypocotyl endodermis"
PO:0006066,"petiole parenchyma"
PO:0006067,"cambium-like transitional zone"
PO:0006068,"sepal parenchyma"
PO:0006069,"petal parenchyma"
PO:0006070,"mesophyll"
PO:0006071,"petal mesophyll"
PO:0006072,"sepal mesophyll"
PO:0006073,"intercalary meristem"
PO:0006074,"obsolete procambium"
PO:0006075,"primary phloem"
PO:0006076,"metaphloem"
PO:0006077,"protophloem"
PO:0006078,"obsolete primary vascular tissue"
PO:0006079,"shoot system meristem"
PO:0006080,"obsolete secondary vascular tissue"
PO:0006081,"primary root apical meristem"
PO:0006082,"abaxial protoderm"
PO:0006083,"adaxial protoderm"
PO:0006084,"portion of transfusion tissue"
PO:0006085,"root meristem"
PO:0006086,"accessory transfusion tissue"
PO:0006087,"proliferation tissue"
PO:0006088,"primary sporogenous cell"
PO:0006089,"anther primordium"
PO:0006090,"organogenic callus"
PO:0006091,"embryogenic callus"
PO:0006109,"pith"
PO:0006200,"fascicular cambium"
PO:0006201,"interfascicular cambium"
PO:0006202,"interfascicular region"
PO:0006203,"pericycle"
PO:0006204,"sporocyte"
PO:0006205,"spongy mesophyll cell"
PO:0006206,"palisade mesophyll cell"
PO:0006207,"exodermal passage cell"
PO:0006208,"endodermal passage cell"
PO:0006209,"lateral root epidermis"
PO:0006210,"protoderm"
PO:0006211,"separation layer"
PO:0006212,"protective layer"
PO:0006213,"root aerenchyma"
PO:0006214,"stem aerenchyma"
PO:0006215,"leaf aerenchyma"
PO:0006216,"internal phloem"
PO:0006218,"exotegmen"
PO:0006219,"endotegmen"
PO:0006220,"central endosperm"
PO:0006221,"articulated laticifer cell"
PO:0006222,"non-articulated laticifer cell"
PO:0006300,"obsolete plant structure"
PO:0006301,"corpus"
PO:0006302,"tunica"
PO:0006303,"L1"
PO:0006304,"L2"
PO:0006305,"L3"
PO:0006306,"obsolete shoot procambium"
PO:0006307,"root procambium"
PO:0006308,"root lateral meristem"
PO:0006309,"tassel spikelet"
PO:0006310,"tassel floret"
PO:0006311,"tassel sessile spikelet"
PO:0006312,"tassel pedicellate spikelet"
PO:0006313,"lower floret of pedicellate spikelet of tassel"
PO:0006314,"upper floret of pedicellate spikelet of tassel"
PO:0006315,"lower floret of sessile spikelet of tassel"
PO:0006316,"upper floret of sessile spikelet of tassel"
PO:0006319,"spikelet pedicel"
PO:0006320,"ear spikelet"
PO:0006321,"second order inflorescence axis"
PO:0006322,"third order inflorescence axis"
PO:0006323,"tassel inflorescence branch"
PO:0006324,"first order tassel inflorescence axis"
PO:0006325,"inflorescence axis node"
PO:0006326,"inflorescence axis internode"
PO:0006327,"spikelet meristem"
PO:0006328,"spikelet pair meristem"
PO:0006330,"gynophore"
PO:0006331,"seed raphe"
PO:0006332,"seed funicle"
PO:0006333,"seed chalaza"
PO:0006334,"seed micropyle"
PO:0006336,"seed obturator"
PO:0006338,"embryo leaf"
PO:0006339,"juvenile vascular leaf"
PO:0006340,"adult vascular leaf"
PO:0006341,"primary shoot system"
PO:0006342,"infructescence"
PO:0006343,"axillary shoot system"
PO:0006344,"shoot lateral meristem"
PO:0006345,"pollen tube"
PO:0006346,"leaf intercalary meristem"
PO:0006347,"stem intercalary meristem"
PO:0006348,"ear pedicellate spikelet"
PO:0006349,"ear sessile spikelet"
PO:0006350,"upper floret of pedicellate spikelet of ear"
PO:0006351,"lower floret of sessile spikelet of ear"
PO:0006352,"upper floret of sessile spikelet of ear"
PO:0006353,"lower floret of pedicellate spikelet of ear"
PO:0006354,"ear floret"
PO:0006358,"tassel spikelet pair meristem"
PO:0006360,"ear spikelet pair meristem"
PO:0006362,"embryo shoot apical meristem"
PO:0006367,"glume of ear spikelet"
PO:0006368,"glume of tassel spikelet"
PO:0006369,"lower glume of ear spikelet"
